id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000587,iffland-liebe-und-wille,Q112947415,,False,Iffland,Liebe und Wille,Ein ländliches Gespräch in einer Handlung,0,several characters,6,0,12,7,3,2,2,160,0,0,3228,3114,130,1814-01-09,,1814,1814,1814,https://de.wikisource.org/wiki/Liebe_und_Wille,Klang,Wien,1843.0,16.0,10.666666666666666,0.9696969696969697,0.9727272727272728,12,11,1,64,2,1.0303030303030303
ger000235,iffland-verbrechen-aus-ehrsucht,Q51395085,,False,Iffland,Verbrechen aus Ehrsucht,Ein Familiengemälde in fünf Aufzügen,0,ruhberg_der_sohn,56,5,16,12,4,0,0,1182,0,0,21710,21217,1735,1784-03-09,,1784,1784,1784,http://www.textgridrep.org/textgrid:qkmx.0,,,,,6.125,0.4083333333333333,0.6959890803640804,16,13,1,49,3,1.6416666666666666
ger000312,immermann-andreas-hofer,Q51529607,Tragedy,False,Immermann,"Andreas Hofer, der Sandwirt von Passeier",Ein Trauerspiel,0,andreas_hofer,33,5,39,30,4,5,5,220,1956,0,18121,17709,1026,,1826/1833,1835,1865,1835,http://www.textgridrep.org/textgrid:qkq1.0,,,,,5.282051282051282,0.13900134952766532,0.7944855466594597,39,23,2,103,4,2.251184834123223
ger000465,immermann-das-gericht-von-st-petersburg,Q56440768,Tragedy,False,Immermann,Das Gericht von St. Petersburg,Tragödie,0,peter,33,5,39,35,4,0,8,157,2456,0,20320,19752,1607,,,1835,1832,1832,http://www.textgridrep.org/textgrid:qkp7.0,,,,,8.923076923076923,0.23481781376518218,0.7862692364395151,39,26,1,174,5,2.1713900134952766
ger000463,immermann-die-bojaren,Q56440749,,False,Immermann,Die Bojaren,Schauspiel,0,glebof,35,5,59,54,3,2,5,50,2481,0,17926,17407,1547,,,1835,1832,1832,http://www.textgridrep.org/textgrid:qknj.0,,,,,10.745762711864407,0.1852717708942139,0.8273894579765168,59,32,1,317,5,2.4149620105201635
ger000589,kaffka-der-transport,Q112960912,Comedy,False,Kaffka,Der Transport,Ein Lustspiel in einem Aufzuge,0,several characters,19,0,10,8,2,0,0,308,11,0,8705,8486,889,,,,1777,1777,https://books.google.com/books?id=rM9UAAAAcAAJ&amp;printsec=frontcover,,,,,8.2,0.9111111111111111,0.9301587301587302,10,9,1,41,2,1.0888888888888888
ger000596,kaiser-die-industrie-ausstellung,Q115644573,Comedy,False,Kaiser,Die Industrie-Ausstellung,Volksstück mit Gesang in zwei Acten,0,several characters,41,2,31,25,6,0,1,894,281,0,29022,28296,3499,1845-08-01,,1845,1846,1845,https://books.google.com/books?id=7L04AQAAMAAJ&amp;printsec=frontcover,Pichler,Wien,1846.0,,8.709677419354838,0.2903225806451613,0.8837266675976353,31,12,2,135,3,1.5108225108225108
ger000545,kaiser-die-koralle,Q108266338,,False,Kaiser,Die Koralle,Schauspiel in fünf Akten,0,milliardaer,5,5,18,14,4,0,0,882,0,0,15503,14710,2362,,,1917,1917,1917,https://www.gutenberg.org/ebooks/63038,,,,,7.888888888888889,0.46405228758169936,0.8433825615198164,18,17,1,71,2,1.5359477124183007
ger000093,kaiser-die-schule-des-armen,Q56255237,,False,Kaiser,Die Schule des Armen oder Zwei Millionen,Original-Charakterbild mit Gesang in vier Akten,0,christoph,41,4,33,28,4,1,4,828,162,0,21939,21189,2766,,,1847,1848,1847,http://www.textgridrep.org/textgrid:qn26.0,,,,,8.181818181818182,0.2556818181818182,0.8842856396670399,33,30,1,135,3,1.7878787878787878
ger000021,kaiser-stadt-und-land,Q56255241,Comedy,False,Kaiser,Stadt und Land oder Der Viehhändler aus Oberösterreich,Posse mit Gesang in drei Aufzügen,0,sebastian,38,3,15,11,4,0,0,842,110,0,16976,16365,2259,,,1844,1845,1844,http://www.textgridrep.org/textgrid:qn29.0,,,,,9.733333333333333,0.6952380952380952,0.8938476338476337,15,14,1,73,2,1.3047619047619048
